エクスポート日時(UTC),エクスポート日時(JST),リポジトリ名,フルネーム,説明,ステータス,活動種別,最終活動からの日数,スター数,フォーク数,ウォッチャー数,未解決Issue数,サイズ,使用言語,ライセンス,トピック,アーカイブ状態,公開状態,デフォルトブランチ,Issues有効,Wiki有効,Projects有効,ホームページ,作成日,最終更新日,最終Push日,Issue最終更新日,最新リリース,URL
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,sample-java-simple-packages,KenichiroArai/sample-java-simple-packages,シンプルな Java で GitHub Packagesを試すサンプルプロジェクトです。,更新が少ない,Push,270,0,0,0,0,8 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-02-15,2025-02-17,2025-02-17,2025-02-17,v0.1.0 (2025-02-17),https://github.com/KenichiroArai/sample-java-simple-packages
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,sample-java-simple-releases,KenichiroArai/sample-java-simple-releases,シンプルなJavaでGitHub Releasesを試すサンプルプロジェクトです。,更新が少ない,Push,270,0,0,0,0,69 KB,Batchfile,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-02-13,2025-02-17,2025-02-17,2025-02-17,v0.1.0 (2025-02-17),https://github.com/KenichiroArai/sample-java-simple-releases
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,example-github-cicd,KenichiroArai/example-github-cicd,説明なし,更新が少ない,Push,290,0,0,0,0,3 KB,Go,ライセンスなし,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-26,2025-01-28,2025-01-28,なし,リリースなし,https://github.com/KenichiroArai/example-github-cicd
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,maven-dependency-sample,KenichiroArai/maven-dependency-sample,説明なし,更新が少ない,Issue更新,293,0,0,0,0,11 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-25,2025-01-25,2025-01-25,2025-01-25,リリースなし,https://github.com/KenichiroArai/maven-dependency-sample
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,No002_ThreeStageScreenTradingSystem_Doc,KenichiroArai/No002_ThreeStageScreenTradingSystem_Doc,三段階スクリーン・トレーディング・システムのドキュメント,更新が少ない,Push,297,0,0,0,0,4 MB,Batchfile,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-04-04,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/No002_ThreeStageScreenTradingSystem_Doc
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,KMG_IM_STOCK_CORE_SRC,KenichiroArai/KMG_IM_STOCK_CORE_SRC,説明なし,更新が少ない,Push,297,0,0,0,0,257 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-12-01,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/KMG_IM_STOCK_CORE_SRC
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,No002_ThreeStageScreenTradingSystem_Src,KenichiroArai/No002_ThreeStageScreenTradingSystem_Src,三段階スクリーン・トレーディング・システムのソース,更新が少ない,Push,297,0,0,0,0,465 KB,Java,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2021-04-04,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/No002_ThreeStageScreenTradingSystem_Src
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,Google-Colab,KenichiroArai/Google-Colab,説明なし,更新が少ない,Push,297,0,0,0,0,28 KB,Jupyter Notebook,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-02,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/Google-Colab
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,GAS,KenichiroArai/GAS,Google Apps Script,更新が少ない,Push,297,0,0,0,0,21 KB,JavaScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2024-07-03,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/GAS
2025-11-14T14:38:31.473Z,2025-11-14T23:38:31.473+09:00,gas-spreadsheet-csv-joiner-tool,KenichiroArai/gas-spreadsheet-csv-joiner-tool,Google スプレッドシート上でGASを使い、CSVを結合ツールです。,更新が少ない,Push,297,0,0,0,0,93 KB,JavaScript,MIT License,トピックなし,✅ アクティブ,🔓 パブリック,main,はい,はい,はい,なし,2025-01-10,2025-01-21,2025-01-21,なし,リリースなし,https://github.com/KenichiroArai/gas-spreadsheet-csv-joiner-tool
